STNAME	CTYNAME	CENSUS2010POP
Kentucky	Hardin	105543
Kentucky	Harlan	29278
Kentucky	Harrison	18846
Kentucky	Hart	18199
Kentucky	Henderson	46250
Kentucky	Henry	15416
Kentucky	Hickman	4902
Kentucky	Hopkins	46920
Kentucky	Jackson	13494
Kentucky	Jefferson	741096
Kentucky	Jessamine	48586
Kentucky	Johnson	23356
Kentucky	Kenton	159720
Kentucky	Knott	16346
Kentucky	Knox	31883
Kentucky	Larue	14193
Kentucky	Laurel	58849
Kentucky	Lawrence	15860
Kentucky	Lee	7887
Kentucky	Leslie	11310
Kentucky	Letcher	24519
Kentucky	Lewis	13870
Kentucky	Lincoln	24742
Kentucky	Livingston	9519
Kentucky	Logan	26835
Kentucky	Lyon	8314
Kentucky	McCracken	65565
Kentucky	McCreary	18306
Kentucky	McLean	9531
Kentucky	Madison	82916
Kentucky	Magoffin	13333
Kentucky	Marion	19820
Kentucky	Marshall	31448
Kentucky	Martin	12929
Kentucky	Mason	17490
Kentucky	Meade	28602
Kentucky	Menifee	6306
Kentucky	Mercer	21331
Kentucky	Metcalfe	10099
Kentucky	Monroe	10963
Kentucky	Montgomery	26499
Kentucky	Morgan	13923
Kentucky	Muhlenberg	31499
Kentucky	Nelson	43437
Kentucky	Nicholas	7135
Kentucky	Ohio	23842
Kentucky	Oldham	60316
Kentucky	Owen	10841
Kentucky	Owsley	4755
Kentucky	Pendleton	14877
Kentucky	Perry	28712
Kentucky	Pike	65024
Kentucky	Powell	12613
Kentucky	Pulaski	63063
Kentucky	Robertson	2282
Kentucky	Rockcastle	17056
Kentucky	Rowan	23333
Kentucky	Russell	17565
Kentucky	Scott	47173
Kentucky	Shelby	42074
Kentucky	Simpson	17327
Kentucky	Spencer	17061
Kentucky	Taylor	24512
Kentucky	Todd	12460
Kentucky	Trigg	14339
Kentucky	Trimble	8809
Kentucky	Union	15007
Kentucky	Warren	113792
Kentucky	Washington	11717
Kentucky	Wayne	20813
Kentucky	Webster	13621
Kentucky	Whitley	35637
Kentucky	Wolfe	7355
Kentucky	Woodford	24939
Louisiana	Louisiana	4533372
Louisiana	Acadia	61773
Louisiana	Allen	25764
Louisiana	Ascension	107215
Louisiana	Assumption	23421
Louisiana	Avoyelles	42073
Louisiana	Beauregard	35654
Louisiana	Bienville	14353
Louisiana	Bossier	116979
Louisiana	Caddo	254969
Louisiana	Calcasieu	192768
Louisiana	Caldwell	10132
Louisiana	Cameron	6839
Louisiana	Catahoula	10407
Louisiana	Claiborne	17195
Louisiana	Concordia	20822
Louisiana	De Soto	26656
Louisiana	East Baton Rouge	440171
Louisiana	East Carroll	7759
Louisiana	East Feliciana	20267
Louisiana	Evangeline	33984
Louisiana	Franklin	20767
Louisiana	Grant	22309
Louisiana	Iberia	73240
Louisiana	Iberville	33387
Louisiana	Jackson	16274
Louisiana	Jefferson	432552
Louisiana	Jefferson Davis	31594
Louisiana	Lafayette	221578
Louisiana	Lafourche	96318
Louisiana	LaSalle	14890
Louisiana	Lincoln	46735
Louisiana	Livingston	128026
Louisiana	Madison	12093
Louisiana	Morehouse	27979
Louisiana	Natchitoches	39566
Louisiana	Orleans	343829
Louisiana	Ouachita	153720
Louisiana	Plaquemines	23042
Louisiana	Pointe Coupee	22802
Louisiana	Rapides	131613
Louisiana	Red River	9091
Louisiana	Richland	20725
Louisiana	Sabine	24233
Louisiana	St. Bernard	35897
Louisiana	St. Charles	52780
Louisiana	St. Helena	11203
Louisiana	St. James	22102
Louisiana	St. John the Baptist	45924
Louisiana	St. Landry	83384
Louisiana	St. Martin	52160
Louisiana	St. Mary	54650
Louisiana	St. Tammany	233740
Louisiana	Tangipahoa	121097
Louisiana	Tensas	5252
Louisiana	Terrebonne	111860
Louisiana	Union	22721
Louisiana	Vermilion	57999
Louisiana	Vernon	52334
Louisiana	Washington	47168
Louisiana	Webster	41207
Louisiana	West Baton Rouge	23788
Louisiana	West Carroll	11604
Louisiana	West Feliciana	15625
Louisiana	Winn	15313
Maine	Maine	1328361
Maine	Androscoggin	107702
Maine	Aroostook	71870
Maine	Cumberland	281674
Maine	Franklin	30768
Maine	Hancock	54418
Maine	Kennebec	122151
Maine	Knox	39736
Maine	Lincoln	34457
Maine	Oxford	57833
Maine	Penobscot	153923
Maine	Piscataquis	17535
Maine	Sagadahoc	35293
Maine	Somerset	52228
Maine	Waldo	38786
Maine	Washington	32856
Maine	York	197131
Maryland	Maryland	5773552
Maryland	Allegany	75087
Maryland	Anne Arundel	537656
Maryland	Baltimore	805029
Maryland	Calvert	88737
Maryland	Caroline	33066
Maryland	Carroll	167134
Maryland	Cecil	101108
Maryland	Charles	146551
Maryland	Dorchester	32618
Maryland	Frederick	233385
Maryland	Garrett	30097
Maryland	Harford	244826
Maryland	Howard	287085
Maryland	Kent	20197
Maryland	Montgomery	971777
Maryland	Prince George's	863420
Maryland	Queen Anne's	47798
Maryland	St. Mary's	105151
Maryland	Somerset	26470
Maryland	Talbot	37782
Maryland	Washington	147430
Maryland	Wicomico	98733
Maryland	Worcester	51454
Maryland	Baltimore city	620961
Massachusetts	Massachusetts	6547629
Massachusetts	Barnstable	215888
Massachusetts	Berkshire	131219
Massachusetts	Bristol	548285
Massachusetts	Dukes	16535
Massachusetts	Essex	743159
Massachusetts	Franklin	71372
Massachusetts	Hampden	463490
Massachusetts	Hampshire	158080
Massachusetts	Middlesex	1503085
Massachusetts	Nantucket	10172
Massachusetts	Norfolk	670850
Massachusetts	Plymouth	494919
Massachusetts	Suffolk	722023
Massachusetts	Worcester	798552
Michigan	Michigan	9883640
Michigan	Alcona	10942
Michigan	Alger	9601
Michigan	Allegan	111408
Michigan	Alpena	29598
Michigan	Antrim	23580
Michigan	Arenac	15899
Michigan	Baraga	8860
Michigan	Barry	59173
Michigan	Bay	107771
Michigan	Benzie	17525
Michigan	Berrien	156813
Michigan	Branch	45248
Michigan	Calhoun	136146
Michigan	Cass	52293
Michigan	Charlevoix	25949
Michigan	Cheboygan	26152
Michigan	Chippewa	38520
Michigan	Clare	30926
Michigan	Clinton	75382
Michigan	Crawford	14074
Michigan	Delta	37069
Michigan	Dickinson	26168
Michigan	Eaton	107759
Michigan	Emmet	32694
Michigan	Genesee	425790
Michigan	Gladwin	25692
Michigan	Gogebic	16427
Michigan	Grand Traverse	86986
Michigan	Gratiot	42476
Michigan	Hillsdale	46688
Michigan	Houghton	36628
Michigan	Huron	33118
Michigan	Ingham	280895
Michigan	Ionia	63905
Michigan	Iosco	25887
Michigan	Iron	11817
Michigan	Isabella	70311
Michigan	Jackson	160248
Michigan	Kalamazoo	250331
Michigan	Kalkaska	17153
Michigan	Kent	602622
Michigan	Keweenaw	2156
Michigan	Lake	11539
Michigan	Lapeer	88319
Michigan	Leelanau	21708
Michigan	Lenawee	99892
Michigan	Livingston	180967
Michigan	Luce	6631
Michigan	Mackinac	11113
Michigan	Macomb	840978
Michigan	Manistee	24733
Michigan	Marquette	67077
Michigan	Mason	28705
Michigan	Mecosta	42798
Michigan	Menominee	24029
Michigan	Midland	83629
Michigan	Missaukee	14849
Michigan	Monroe	152021
Michigan	Montcalm	63342
Michigan	Montmorency	9765
Michigan	Muskegon	172188
Michigan	Newaygo	48460
Michigan	Oakland	1202362
Michigan	Oceana	26570
Michigan	Ogemaw	21699
Michigan	Ontonagon	6780
Michigan	Osceola	23528
Michigan	Oscoda	8640
Michigan	Otsego	24164
Michigan	Ottawa	263801
Michigan	Presque Isle	13376
Michigan	Roscommon	24449
Michigan	Saginaw	200169
Michigan	St. Clair	163040
Michigan	St. Joseph	61295
Michigan	Sanilac	43114
Michigan	Schoolcraft	8485
Michigan	Shiawassee	70648
Michigan	Tuscola	55729
Michigan	Van Buren	76258
Michigan	Washtenaw	344791
Michigan	Wayne	1820584
Michigan	Wexford	32735
Minnesota	Minnesota	5303925
Minnesota	Aitkin	16202
Minnesota	Anoka	330844
Minnesota	Becker	32504
Minnesota	Beltrami	44442
Minnesota	Benton	38451
Minnesota	Big Stone	5269
Minnesota	Blue Earth	64013
Minnesota	Brown	25893
Minnesota	Carlton	35386
Minnesota	Carver	91042
Minnesota	Cass	28567
Minnesota	Chippewa	12441
Minnesota	Chisago	53887
Minnesota	Clay	58999
Minnesota	Clearwater	8695
Minnesota	Cook	5176
Minnesota	Cottonwood	11687
Minnesota	Crow Wing	62500
Minnesota	Dakota	398552
Minnesota	Dodge	20087
Minnesota	Douglas	36009
Minnesota	Faribault	14553
Minnesota	Fillmore	20866
Minnesota	Freeborn	31255
Minnesota	Goodhue	46183
Minnesota	Grant	6018
Minnesota	Hennepin	1152425
Minnesota	Houston	19027
Minnesota	Hubbard	20428
Minnesota	Isanti	37816
Minnesota	Itasca	45058
Minnesota	Jackson	10266
Minnesota	Kanabec	16239
Minnesota	Kandiyohi	42239
Minnesota	Kittson	4552
Minnesota	Koochiching	13311
Minnesota	Lac qui Parle	7259
Minnesota	Lake	10866
Minnesota	Lake of the Woods	4045
Minnesota	Le Sueur	27703
Minnesota	Lincoln	5896
Minnesota	Lyon	25857
Minnesota	McLeod	36651
Minnesota	Mahnomen	5413
Minnesota	Marshall	9439
Minnesota	Martin	20840
Minnesota	Meeker	23300
Minnesota	Mille Lacs	26097
Minnesota	Morrison	33198
Minnesota	Mower	39163
Minnesota	Murray	8725
Minnesota	Nicollet	32727
Minnesota	Nobles	21378
Minnesota	Norman	6852
Minnesota	Olmsted	144248
Minnesota	Otter Tail	57303
Minnesota	Pennington	13930
Minnesota	Pine	29750
Minnesota	Pipestone	9596
Minnesota	Polk	31600
Minnesota	Pope	10995
Minnesota	Ramsey	508640
Minnesota	Red Lake	4089
Minnesota	Redwood	16059
Minnesota	Renville	15730
Minnesota	Rice	64142
Minnesota	Rock	9687
Minnesota	Roseau	15629
Minnesota	St. Louis	200226
Minnesota	Scott	129928
Minnesota	Sherburne	88499
Minnesota	Sibley	15226
Minnesota	Stearns	150642
Minnesota	Steele	36576
Minnesota	Stevens	9726
Minnesota	Swift	9783
Minnesota	Todd	24895
Minnesota	Traverse	3558
Minnesota	Wabasha	21676
Minnesota	Wadena	13843
Minnesota	Waseca	19136
Minnesota	Washington	238136
Minnesota	Watonwan	11211
Minnesota	Wilkin	6576
Minnesota	Winona	51461
Minnesota	Wright	124700
Minnesota	Yellow Medicine	10438
Mississippi	Mississippi	2967297
Mississippi	Adams	32297
Mississippi	Alcorn	37057
Mississippi	Amite	13131
Mississippi	Attala	19564
Mississippi	Benton	8729
Mississippi	Bolivar	34145
Mississippi	Calhoun	14962
Mississippi	Carroll	10597
Mississippi	Chickasaw	17392
Mississippi	Choctaw	8547
Mississippi	Claiborne	9604
Mississippi	Clarke	16732
Mississippi	Clay	20634
Mississippi	Coahoma	26151
Mississippi	Copiah	29449
Mississippi	Covington	19568
Mississippi	DeSoto	161252
Mississippi	Forrest	74934
Mississippi	Franklin	8118
Mississippi	George	22578
Mississippi	Greene	14400
Mississippi	Grenada	21906
Mississippi	Hancock	43929
Mississippi	Harrison	187105
Mississippi	Hinds	245285
Mississippi	Holmes	19198
Mississippi	Humphreys	9375
Mississippi	Issaquena	1406
Mississippi	Itawamba	23401
Mississippi	Jackson	139668
Mississippi	Jasper	17062
Mississippi	Jefferson	7726
Mississippi	Jefferson Davis	12487
Mississippi	Jones	67761
Mississippi	Kemper	10456
Mississippi	Lafayette	47351
Mississippi	Lamar	55658
Mississippi	Lauderdale	80261
Mississippi	Lawrence	12929
Mississippi	Leake	23805
Mississippi	Lee	82910
Mississippi	Leflore	32317
Mississippi	Lincoln	34869
Mississippi	Lowndes	59779
Mississippi	Madison	95203
Mississippi	Marion	27088
Mississippi	Marshall	37144
Mississippi	Monroe	36989
Mississippi	Montgomery	10925
Mississippi	Neshoba	29676
Mississippi	Newton	21720
Mississippi	Noxubee	11545
Mississippi	Oktibbeha	47671
Mississippi	Panola	34707
Mississippi	Pearl River	55834
Mississippi	Perry	12250
Mississippi	Pike	40404
Mississippi	Pontotoc	29957
Mississippi	Prentiss	25276
Mississippi	Quitman	8223
Mississippi	Rankin	141617
Mississippi	Scott	28264
Mississippi	Sharkey	4916
Mississippi	Simpson	27503
Mississippi	Smith	16491
Mississippi	Stone	17786
Mississippi	Sunflower	29450
Mississippi	Tallahatchie	15378
Mississippi	Tate	28886
Mississippi	Tippah	22232
Mississippi	Tishomingo	19593
Mississippi	Tunica	10778
Mississippi	Union	27134
Mississippi	Walthall	15443
Mississippi	Warren	48773
Mississippi	Washington	51137
Mississippi	Wayne	20747
Mississippi	Webster	10253
Mississippi	Wilkinson	9878
Mississippi	Winston	19198
Mississippi	Yalobusha	12678
Mississippi	Yazoo	28065
Missouri	Missouri	5988927
Missouri	Kansas City	488943	

Missouri	Adair	25607
Missouri	Andrew	17291
Missouri	Atchison	5685
Missouri	Audrain	25529
Missouri	Barry	35597
Missouri	Barton	12402
Missouri	Bates	17049
Missouri	Benton	19056
Missouri	Bollinger	12363
Missouri	Boone	162642
Missouri	Buchanan	89201
Missouri	Butler	42794
Missouri	Caldwell	9424
Missouri	Callaway	44332
Missouri	Camden	44002
Missouri	Cape Girardeau	75674
Missouri	Carroll	9295
Missouri	Carter	6265
Missouri	Cass	99478
Missouri	Cedar	13982
Missouri	Chariton	7831
Missouri	Christian	77422
Missouri	Clark	7139
Missouri	Clay	221939
Missouri	Clinton	20743
Missouri	Cole	75990
Missouri	Cooper	17601
Missouri	Crawford	24696
Missouri	Dade	7883
Missouri	Dallas	16777
Missouri	Daviess	8433
Missouri	DeKalb	12892
Missouri	Dent	15657
Missouri	Douglas	13684
Missouri	Dunklin	31953
Missouri	Franklin	101492
Missouri	Gasconade	15222
Missouri	Gentry	6738
Missouri	Greene	275174
Missouri	Grundy	10261
Missouri	Harrison	8957
Missouri	Henry	22272
Missouri	Hickory	9627
Missouri	Holt	4912
Missouri	Howard	10144
Missouri	Howell	40400
Missouri	Iron	10630
Missouri	Jackson	674158
Missouri	Jasper	117404
Missouri	Jefferson	218733
Missouri	Johnson	52595
Missouri	Knox	4131
Missouri	Laclede	35571
Missouri	Lafayette	33381
Missouri	Lawrence	38634
Missouri	Lewis	10211
Missouri	Lincoln	52566
Missouri	Linn	12761
Missouri	Livingston	15195
Missouri	McDonald	23083
Missouri	Macon	15566
Missouri	Madison	12226
Missouri	Maries	9176
Missouri	Marion	28781
Missouri	Mercer	3785
Missouri	Miller	24748
Missouri	Mississippi	14358
Missouri	Moniteau	15607
Missouri	Monroe	8840
Missouri	Montgomery	12236
Missouri	Morgan	20565
Missouri	New Madrid	18956
Missouri	Newton	58114
Missouri	Nodaway	23370
Missouri	Oregon	10881
Missouri	Osage	13878
Missouri	Ozark	9723
Missouri	Pemiscot	18296
Missouri	Perry	18971
Missouri	Pettis	42201
Missouri	Phelps	45156
Missouri	Pike	18516
Missouri	Platte	89322
Missouri	Polk	31137
Missouri	Pulaski	52274
Missouri	Putnam	4979
Missouri	Ralls	10167
Missouri	Randolph	25414
Missouri	Ray	23494
Missouri	Reynolds	6696
Missouri	Ripley	14100
Missouri	St. Charles	360485
Missouri	St. Clair	9805
Missouri	Ste. Genevieve	18145
Missouri	St. Francois	65359
Missouri	St. Louis	998954
Missouri	Saline	23370
Missouri	Schuyler	4431
Missouri	Scotland	4843
Missouri	Scott	39191
Missouri	Shannon	8441
Missouri	Shelby	6373
Missouri	Stoddard	29968
Missouri	Stone	32202
Missouri	Sullivan	6714
Missouri	Taney	51675
Missouri	Texas	26008
Missouri	Vernon	21159
Missouri	Warren	32513
Missouri	Washington	25195
Missouri	Wayne	13521
Missouri	Webster	36202
Missouri	Worth	2171
Missouri	Wright	18815
Missouri	St. Louis city	319294
Montana	Montana	989415
Montana	Beaverhead	9246
Montana	Big Horn	12865
Montana	Blaine	6491
Montana	Broadwater	5612
Montana	Carbon	10078
Montana	Carter	1160
Montana	Cascade	81327
Montana	Chouteau	5813
Montana	Custer	11699
Montana	Daniels	1751
Montana	Dawson	8966
Montana	Deer Lodge	9298
Montana	Fallon	2890
Montana	Fergus	11586
Montana	Flathead	90928
Montana	Gallatin	89513
Montana	Garfield	1206
Montana	Glacier	13399
Montana	Golden Valley	884
Montana	Granite	3079
Montana	Hill	16096
Montana	Jefferson	11406
Montana	Judith Basin	2072
Montana	Lake	28746
Montana	Lewis and Clark	63395
Montana	Liberty	2339
Montana	Lincoln	19687
Montana	McCone	1734
Montana	Madison	7691
Montana	Meagher	1891
Montana	Mineral	4223
Montana	Missoula	109299
Montana	Musselshell	4538
Montana	Park	15636
Montana	Petroleum	494
Montana	Phillips	4253
Montana	Pondera	6153
Montana	Powder River	1743
Montana	Powell	7027
Montana	Prairie	1179
Montana	Ravalli	40212
Montana	Richland	9746
Montana	Roosevelt	10425
Montana	Rosebud	9233
Montana	Sanders	11413
Montana	Sheridan	3384
Montana	Silver Bow	34200
Montana	Stillwater	9117
Montana	Sweet Grass	3651
Montana	Teton	6073
Montana	Toole	5324
Montana	Treasure	718
Montana	Valley	7369
Montana	Wheatland	2168
Montana	Wibaux	1017
Montana	Yellowstone	147972
Nebraska	Nebraska	1826341
Nebraska	Adams	31364
Nebraska	Antelope	6685
Nebraska	Arthur	460
Nebraska	Banner	690
Nebraska	Blaine	478
Nebraska	Boone	5505
Nebraska	Box Butte	11308
Nebraska	Boyd	2099
Nebraska	Brown	3145
Nebraska	Buffalo	46102
Nebraska	Burt	6858
Nebraska	Butler	8395
Nebraska	Cass	25241
Nebraska	Cedar	8852
Nebraska	Chase	3966
Nebraska	Cherry	5713
Nebraska	Cheyenne	9998
Nebraska	Clay	6542
Nebraska	Colfax	10515
Nebraska	Cuming	9139
Nebraska	Custer	10939
Nebraska	Dakota	21006
Nebraska	Dawes	9182
Nebraska	Dawson	24326
Nebraska	Deuel	1941
Nebraska	Dixon	6000
Nebraska	Dodge	36691
Nebraska	Douglas	517110
Nebraska	Dundy	2008
Nebraska	Fillmore	5890
Nebraska	Franklin	3225
Nebraska	Frontier	2756
Nebraska	Furnas	4959
Nebraska	Gage	22311
Nebraska	Garden	2057
Nebraska	Garfield	2049
Nebraska	Gosper	2044
Nebraska	Grant	614
Nebraska	Greeley	2538
Nebraska	Hall	58607
Nebraska	Hamilton	9124
Nebraska	Harlan	3423
Nebraska	Hayes	967
Nebraska	Hitchcock	2908
Nebraska	Holt	10435
Nebraska	Hooker	736
Nebraska	Howard	6274
Nebraska	Jefferson	7547
Nebraska	Johnson	5217
Nebraska	Kearney	6489
Nebraska	Keith	8368
Nebraska	Keya Paha	824
Nebraska	Kimball	3821
Nebraska	Knox	8701
Nebraska	Lancaster	285407
Nebraska	Lincoln	36288
Nebraska	Logan	763
Nebraska	Loup	632
Nebraska	McPherson	539
Nebraska	Madison	34876
Nebraska	Merrick	7845
Nebraska	Morrill	5042
Nebraska	Nance	3735
Nebraska	Nemaha	7248
Nebraska	Nuckolls	4500
Nebraska	Otoe	15740
Nebraska	Pawnee	2773
Nebraska	Perkins	2970
Nebraska	Phelps	9188
Nebraska	Pierce	7266
Nebraska	Platte	32237
Nebraska	Polk	5406
Nebraska	Red Willow	11055
Nebraska	Richardson	8363
Nebraska	Rock	1526
Nebraska	Saline	14200
Nebraska	Sarpy	158840
Nebraska	Saunders	20780
Nebraska	Scotts Bluff	36970
Nebraska	Seward	16750
Nebraska	Sheridan	5469
Nebraska	Sherman	3152
Nebraska	Sioux	1311
Nebraska	Stanton	6129
Nebraska	Thayer	5228
Nebraska	Thomas	647
Nebraska	Thurston	6940
Nebraska	Valley	4260
Nebraska	Washington	20234
Nebraska	Wayne	9595
Nebraska	Webster	3812
Nebraska	Wheeler	818
Nebraska	York	13665
Nevada	Nevada	2700551
Nevada	Churchill	24877
Nevada	Clark	1951269
Nevada	Douglas	46997
Nevada	Elko	48818
Nevada	Esmeralda	783
Nevada	Eureka	1987
Nevada	Humboldt	16528
Nevada	Lander	5775
Nevada	Lincoln	5345
Nevada	Lyon	51980
Nevada	Mineral	4772
Nevada	Nye	43946
Nevada	Pershing	6753
Nevada	Storey	4010
Nevada	Washoe	421407
Nevada	White Pine	10030
Nevada	Carson City	55274
New Hampshire	New Hampshire	1316470
New Hampshire	Belknap	60088
New Hampshire	Carroll	47818
New Hampshire	Cheshire	77117
New Hampshire	Coos	33055
New Hampshire	Grafton	89118
New Hampshire	Hillsborough	400721
New Hampshire	Merrimack	146445
New Hampshire	Rockingham	295223
New Hampshire	Strafford	123143
New Hampshire	Sullivan	43742
New Jersey	New Jersey	8791894
New Jersey	Atlantic	274549
New Jersey	Bergen	905116
New Jersey	Burlington	448734
New Jersey	Camden	513657
New Jersey	Cape May	97265
New Jersey	Cumberland	156898
New Jersey	Essex	783969
New Jersey	Gloucester	288288
New Jersey	Hudson	634266
New Jersey	Hunterdon	128349
New Jersey	Mercer	366513
New Jersey	Middlesex	809858
New Jersey	Monmouth	630380
New Jersey	Morris	492276
New Jersey	Ocean	576567
New Jersey	Passaic	501226
New Jersey	Salem	66083
New Jersey	Somerset	323444
New Jersey	Sussex	149265
New Jersey	Union	536499
New Jersey	Warren	108692
New Mexico	New Mexico	2059179
New Mexico	Bernalillo	662564
New Mexico	Catron	3725
New Mexico	Chaves	65645
New Mexico	Cibola	27213
New Mexico	Colfax	13750
New Mexico	Curry	48376
New Mexico	De Baca	2022
New Mexico	Doña Ana	209233
New Mexico	Eddy	53829
New Mexico	Grant	29514
New Mexico	Guadalupe	4687
New Mexico	Harding	695
New Mexico	Hidalgo	4894
New Mexico	Lea	64727
New Mexico	Lincoln	20497
New Mexico	Los Alamos	17950
New Mexico	Luna	25095
New Mexico	McKinley	71492
New Mexico	Mora	4881
New Mexico	Otero	63797
New Mexico	Quay	9041
New Mexico	Rio Arriba	40246
New Mexico	Roosevelt	19846
New Mexico	Sandoval	131561
New Mexico	San Juan	130044
New Mexico	San Miguel	29393
New Mexico	Santa Fe	144170
New Mexico	Sierra	11988
New Mexico	Socorro	17866
New Mexico	Taos	32937
New Mexico	Torrance	16383
New Mexico	Union	4549
New Mexico	Valencia	76569
New York	New York City	8623000
New York	New York	19378102
New York	Albany	304204
New York	Allegany	48946
New York	Bronx	1385108
New York	Broome	200600
New York	Cattaraugus	80317
New York	Cayuga	80026
New York	Chautauqua	134905
New York	Chemung	88830
New York	Chenango	50477
New York	Clinton	82128
New York	Columbia	63096
New York	Cortland	49336
New York	Delaware	47980
New York	Dutchess	297488
New York	Erie	919040
New York	Essex	39370
New York	Franklin	51599
New York	Fulton	55531
New York	Genesee	60079
New York	Greene	49221
New York	Hamilton	4836
New York	Herkimer	64519
New York	Jefferson	116229
New York	Kings	2504700
New York	Lewis	27087
New York	Livingston	65393
New York	Madison	73442
New York	Monroe	744344
New York	Montgomery	50219
New York	Nassau	1339532
New York	New York 	1585873
New York	Niagara	216469
New York	Oneida	234878
New York	Onondaga	467026
New York	Ontario	107931
New York	Orange	372813
New York	Orleans	42883
New York	Oswego	122109
New York	Otsego	62259
New York	Putnam	99710
New York	Queens	2230722
New York	Rensselaer	159429
New York	Richmond	468730
New York	Rockland	311687
New York	St. Lawrence	111944
New York	Saratoga	219607
New York	Schenectady	154727
New York	Schoharie	32749
New York	Schuyler	18343
New York	Seneca	35251
New York	Steuben	98990
New York	Suffolk	1493350
New York	Sullivan	77547
New York	Tioga	51125
New York	Tompkins	101564
New York	Ulster	182493
New York	Warren	65707
New York	Washington	63216
New York	Wayne	93772
New York	Westchester	949113
New York	Wyoming	42155
New York	Yates	25348
North Carolina	North Carolina	9535483
North Carolina	Alamance	151131
North Carolina	Alexander	37198
North Carolina	Alleghany	11155
North Carolina	Anson	26948
North Carolina	Ashe	27281
North Carolina	Avery	17797
North Carolina	Beaufort	47759
North Carolina	Bertie	21282
North Carolina	Bladen	35190
North Carolina	Brunswick	107431
North Carolina	Buncombe	238318
North Carolina	Burke	90912
North Carolina	Cabarrus	178011
North Carolina	Caldwell	83029
North Carolina	Camden	9980
North Carolina	Carteret	66469
North Carolina	Caswell	23719
North Carolina	Catawba	154358
North Carolina	Chatham	63505
North Carolina	Cherokee	27444
North Carolina	Chowan	14793
North Carolina	Clay	10587
North Carolina	Cleveland	98078
North Carolina	Columbus	58098
North Carolina	Craven	103505
North Carolina	Cumberland	319431
North Carolina	Currituck	23547
North Carolina	Dare	33920
North Carolina	Davidson	162878
North Carolina	Davie	41240
North Carolina	Duplin	58505
North Carolina	Durham	267587
North Carolina	Edgecombe	56552
North Carolina	Forsyth	350670
North Carolina	Franklin	60619
North Carolina	Gaston	206086
North Carolina	Gates	12197
North Carolina	Graham	8861
North Carolina	Granville	59916
North Carolina	Greene	21362
North Carolina	Guilford	488406
North Carolina	Halifax	54691
North Carolina	Harnett	114678
North Carolina	Haywood	59036
North Carolina	Henderson	106740
North Carolina	Hertford	24669
North Carolina	Hoke	46952
North Carolina	Hyde	5810
North Carolina	Iredell	159437
North Carolina	Jackson	40271
North Carolina	Johnston	168878
North Carolina	Jones	10153
North Carolina	Lee	57866
North Carolina	Lenoir	59495
North Carolina	Lincoln	78265
North Carolina	McDowell	44996
North Carolina	Macon	33922
North Carolina	Madison	20764
North Carolina	Martin	24505
North Carolina	Mecklenburg	919628
North Carolina	Mitchell	15579
North Carolina	Montgomery	27798
North Carolina	Moore	88247
North Carolina	Nash	95840
North Carolina	New Hanover	202667
North Carolina	Northampton	22099
North Carolina	Onslow	177772
North Carolina	Orange	133801
North Carolina	Pamlico	13144
North Carolina	Pasquotank	40661
North Carolina	Pender	52217
North Carolina	Perquimans	13453
North Carolina	Person	39464
North Carolina	Pitt	168148
North Carolina	Polk	20510
North Carolina	Randolph	141752
North Carolina	Richmond	46639
North Carolina	Robeson	134168
North Carolina	Rockingham	93643
North Carolina	Rowan	138428
North Carolina	Rutherford	67810
North Carolina	Sampson	63431
North Carolina	Scotland	36157
North Carolina	Stanly	60585
North Carolina	Stokes	47401
North Carolina	Surry	73673
North Carolina	Swain	13981
North Carolina	Transylvania	33090
North Carolina	Tyrrell	4407
North Carolina	Union	201292
North Carolina	Vance	45422
North Carolina	Wake	900993
North Carolina	Warren	20972
North Carolina	Washington	13228
North Carolina	Watauga	51079
North Carolina	Wayne	122623
North Carolina	Wilkes	69340
North Carolina	Wilson	81234
North Carolina	Yadkin	38406
North Carolina	Yancey	17818
North Dakota	North Dakota	672591
North Dakota	Adams	2343
North Dakota	Barnes	11066
North Dakota	Benson	6660
North Dakota	Billings	783
North Dakota	Bottineau	6429
North Dakota	Bowman	3151
North Dakota	Burke	1968
North Dakota	Burleigh	81308
North Dakota	Cass	149778
North Dakota	Cavalier	3993
North Dakota	Dickey	5289
North Dakota	Divide	2071
North Dakota	Dunn	3536
North Dakota	Eddy	2385
North Dakota	Emmons	3550
North Dakota	Foster	3343
North Dakota	Golden Valley	1680
North Dakota	Grand Forks	66861
North Dakota	Grant	2394
North Dakota	Griggs	2420
North Dakota	Hettinger	2477
North Dakota	Kidder	2435
North Dakota	LaMoure	4139
North Dakota	Logan	1990
North Dakota	McHenry	5395
North Dakota	McIntosh	2809
North Dakota	McKenzie	6360
North Dakota	McLean	8962
North Dakota	Mercer	8424
North Dakota	Morton	27471
North Dakota	Mountrail	7673
North Dakota	Nelson	3126
North Dakota	Oliver	1846
North Dakota	Pembina	7413
North Dakota	Pierce	4357
North Dakota	Ramsey	11451
North Dakota	Ransom	5457
North Dakota	Renville	2470
North Dakota	Richland	16321
North Dakota	Rolette	13937
North Dakota	Sargent	3829
North Dakota	Sheridan	1321
North Dakota	Sioux	4153
North Dakota	Slope	727
North Dakota	Stark	24199
North Dakota	Steele	1975
North Dakota	Stutsman	21100
North Dakota	Towner	2246
North Dakota	Traill	8121
North Dakota	Walsh	11119
North Dakota	Ward	61675
North Dakota	Wells	4207
North Dakota	Williams	22398
Ohio	Ohio	11536504
