STNAME	CTYNAME	CENSUS2010POP
California	Santa Barbara	423895
California	Santa Clara	1781642
California	Santa Cruz	262382
California	Shasta	177223
California	Sierra	3240
California	Siskiyou	44900
California	Solano	413344
California	Sonoma	483878
California	Stanislaus	514453
California	Sutter	94737
California	Tehama	63463
California	Trinity	13786
California	Tulare	442179
California	Tuolumne	55365
California	Ventura	823318
California	Yolo	200849
California	Yuba	72155
Colorado	Colorado	5029196
Colorado	Adams	441603
Colorado	Alamosa	15445
Colorado	Arapahoe	572003
Colorado	Archuleta	12084
Colorado	Baca	3788
Colorado	Bent	6499
Colorado	Boulder	294567
Colorado	Broomfield	55889
Colorado	Chaffee	17809
Colorado	Cheyenne	1836
Colorado	Clear Creek	9088
Colorado	Conejos	8256
Colorado	Costilla	3524
Colorado	Crowley	5823
Colorado	Custer	4255
Colorado	Delta	30952
Colorado	Denver	600158
Colorado	Dolores	2064
Colorado	Douglas	285465
Colorado	Eagle	52197
Colorado	Elbert	23086
Colorado	El Paso	622263
Colorado	Fremont	46824
Colorado	Garfield	56389
Colorado	Gilpin	5441
Colorado	Grand	14843
Colorado	Gunnison	15324
Colorado	Hinsdale	843
Colorado	Huerfano	6711
Colorado	Jackson	1394
Colorado	Jefferson	534543
Colorado	Kiowa	1398
Colorado	Kit Carson	8270
Colorado	Lake	7310
Colorado	La Plata	51334
Colorado	Larimer	299630
Colorado	Las Animas	15507
Colorado	Lincoln	5467
Colorado	Logan	22709
Colorado	Mesa	146723
Colorado	Mineral	712
Colorado	Moffat	13795
Colorado	Montezuma	25535
Colorado	Montrose	41276
Colorado	Morgan	28159
Colorado	Otero	18831
Colorado	Ouray	4436
Colorado	Park	16206
Colorado	Phillips	4442
Colorado	Pitkin	17148
Colorado	Prowers	12551
Colorado	Pueblo	159063
Colorado	Rio Blanco	6666
Colorado	Rio Grande	11982
Colorado	Routt	23509
Colorado	Saguache	6108
Colorado	San Juan	699
Colorado	San Miguel	7359
Colorado	Sedgwick	2379
Colorado	Summit	27994
Colorado	Teller	23350
Colorado	Washington	4814
Colorado	Weld	252825
Colorado	Yuma	10043
Connecticut	Connecticut	3574097
Connecticut	Fairfield	916829
Connecticut	Hartford	894014
Connecticut	Litchfield	189927
Connecticut	Middlesex	165676
Connecticut	New Haven	862477
Connecticut	New London	274055
Connecticut	Tolland	152691
Connecticut	Windham	118428
Delaware	Delaware	897934
Delaware	Kent	162310
Delaware	New Castle	538479
Delaware	Sussex	197145
District of Columbia	District of Columbia	601723
District of Columbia	District of Columbia	601723
Florida	Florida	18801310
Florida	Alachua	247336
Florida	Baker	27115
Florida	Bay	168852
Florida	Bradford	28520
Florida	Brevard	543376
Florida	Broward	1748066
Florida	Calhoun	14625
Florida	Charlotte	159978
Florida	Citrus	141236
Florida	Clay	190865
Florida	Collier	321520
Florida	Columbia	67531
Florida	DeSoto	34862
Florida	Dixie	16422
Florida	Duval	864263
Florida	Escambia	297619
Florida	Flagler	95696
Florida	Franklin	11549
Florida	Gadsden	46389
Florida	Gilchrist	16939
Florida	Glades	12884
Florida	Gulf	15863
Florida	Hamilton	14799
Florida	Hardee	27731
Florida	Hendry	39140
Florida	Hernando	172778
Florida	Highlands	98786
Florida	Hillsborough	1229226
Florida	Holmes	19927
Florida	Indian River	138028
Florida	Jackson	49746
Florida	Jefferson	14761
Florida	Lafayette	8870
Florida	Lake	297052
Florida	Lee	618754
Florida	Leon	275487
Florida	Levy	40801
Florida	Liberty	8365
Florida	Madison	19224
Florida	Manatee	322833
Florida	Marion	331298
Florida	Martin	146318
Florida	Miami-Dade	2496435
Florida	Monroe	73090
Florida	Nassau	73314
Florida	Okaloosa	180822
Florida	Okeechobee	39996
Florida	Orange	1145956
Florida	Osceola	268685
Florida	Palm Beach	1320134
Florida	Pasco	464697
Florida	Pinellas	916542
Florida	Polk	602095
Florida	Putnam	74364
Florida	St. Johns	190039
Florida	St. Lucie	277789
Florida	Santa Rosa	151372
Florida	Sarasota	379448
Florida	Seminole	422718
Florida	Sumter	93420
Florida	Suwannee	41551
Florida	Taylor	22570
Florida	Union	15535
Florida	Volusia	494593
Florida	Wakulla	30776
Florida	Walton	55043
Florida	Washington	24896
Georgia	Georgia	9687653
Georgia	Appling	18236
Georgia	Atkinson	8375
Georgia	Bacon	11096
Georgia	Baker	3451
Georgia	Baldwin	45720
Georgia	Banks	18395
Georgia	Barrow	69367
Georgia	Bartow	100157
Georgia	Ben Hill	17634
Georgia	Berrien	19286
Georgia	Bibb	155547
Georgia	Bleckley	13063
Georgia	Brantley	18411
Georgia	Brooks	16243
Georgia	Bryan	30233
Georgia	Bulloch	70217
Georgia	Burke	23316
Georgia	Butts	23655
Georgia	Calhoun	6694
Georgia	Camden	50513
Georgia	Candler	10998
Georgia	Carroll	110527
Georgia	Catoosa	63942
Georgia	Charlton	12171
Georgia	Chatham	265128
Georgia	Chattahoochee	11267
Georgia	Chattooga	26015
Georgia	Cherokee	214346
Georgia	Clarke	116714
Georgia	Clay	3183
Georgia	Clayton	259424
Georgia	Clinch	6798
Georgia	Cobb	688078
Georgia	Coffee	42356
Georgia	Colquitt	45498
Georgia	Columbia	124053
Georgia	Cook	17212
Georgia	Coweta	127317
Georgia	Crawford	12630
Georgia	Crisp	23439
Georgia	Dade	16633
Georgia	Dawson	22330
Georgia	Decatur	27842
Georgia	DeKalb	691893
Georgia	Dodge	21796
Georgia	Dooly	14918
Georgia	Dougherty	94565
Georgia	Douglas	132403
Georgia	Early	11008
Georgia	Echols	4034
Georgia	Effingham	52250
Georgia	Elbert	20166
Georgia	Emanuel	22598
Georgia	Evans	11000
Georgia	Fannin	23682
Georgia	Fayette	106567
Georgia	Floyd	96317
Georgia	Forsyth	175511
Georgia	Franklin	22084
Georgia	Fulton	920581
Georgia	Gilmer	28292
Georgia	Glascock	3082
