CA	39,512,223
TX	28,995,881
FL	21,477,737
NY	19,453,561
PA	12,801,989
IL	12,671,821
OH	11,689,100
GA	10,617,423
NC	10,488,084
MI	9,986,857
NJ	8,882,190
VA	8,535,519
WA	7,614,893
AZ	7,278,717
MA	6,949,503
TN	6,833,174
IN	6,732,219
MI	6,137,428
MD	6,045,680
WI	5,822,434
CO	5,758,736
MI	5,639,632
SC	5,148,714
AL	4,903,185
LA	4,648,794
KY	4,467,673
OR	4,217,737
OK	3,956,971
CT	3,565,287
UT	3,205,958
IA	3,155,070
NV	3,080,156
AR	3,017,825
MS	2,976,149
KS	2,913,314
NM	2,096,829
NE	1,934,408
WV	1,792,065
ID	1,787,147
HI	1,415,872
NH	1,359,711
ME	1,344,212
MO	1,068,778
RI	1,059,361
DE	973,764
SD	884,659
ND	762,062
AK	731,545
DC	705,749
VT	623,989
WY	578,759
